ImageId,EncodedPixels
31f1fbe85b8899258ea5bcf5f93f7ac8238660c386aeab40649c715bd2e38a0a, 37967 7 38222 9 38477 11 38732 14 38987 16 39242 18 39498 18 39754 18 40010 18 40266 18 40522 17 40778 16 41035 14
31f1fbe85b8899258ea5bcf5f93f7ac8238660c386aeab40649c715bd2e38a0a, 14197 7 14450 13 14704 16 14960 16 15215 18 15471 18 15727 17 15983 17 16239 16 16496 14 16754 11
31f1fbe85b8899258ea5bcf5f93f7ac8238660c386aeab40649c715bd2e38a0a, 37264 3 37517 8 37772 10 38026 12 38282 12 38537 13 38793 13 39049 12 39305 11 39561 11 39817 13 40074 12 40332 3 40336 6 40593 5
31f1fbe85b8899258ea5bcf5f93f7ac8238660c386aeab40649c715bd2e38a0a, 24878 4 25133 6 25389 7 25644 10 25900 11 26156 12 26413 12 26671 10 26927 10 27183 10 27439 9 27695 8 27952 7 28210 1
31f1fbe85b8899258ea5bcf5f93f7ac8238660c386aeab40649c715bd2e38a0a, 12540 5 12796 5 13051 6 13307 6 13563 6 13819 6 14076 5 14332 5 14590 3
31f1fbe85b8899258ea5bcf5f93f7ac8238660c386aeab40649c715bd2e38a0a, 16196 1 16449 8 16700 15 16951 21 17205 25 17460 27 17716 29 17972 30 18228 30 18484 30 18740 30 18996 30 19253 29 19512 24 19769 21 20027 17 20284 14 20543 9
31f1fbe85b8899258ea5bcf5f93f7ac8238660c386aeab40649c715bd2e38a0a, 26669 2 26925 2 27173 4 27182 1 27428 6 27683 7 27938 8 28194 9 28450 9 28705 10 28961 10 29218 9 29475 6
31f1fbe85b8899258ea5bcf5f93f7ac8238660c386aeab40649c715bd2e38a0a, 14217 4 14470 9 14725 11 14981 10 15238 9 15494 8 15750 7
7f4cbe0b36b5d09466476a7d4e01f4f976c67872d549f4ff47b3e1e3a2b403af, 178 18 433 19 689 19 945 19 1201 19 1457 19 1713 19 1970 18 2226 17 2483 15 2740 13 2997 11 3257 3
7f4cbe0b36b5d09466476a7d4e01f4f976c67872d549f4ff47b3e1e3a2b403af, 43394 4 43646 11 43900 15 44154 18 44409 20 44665 20 44920 22 45176 22 45432 22 45688 22 45944 22 46200 22 46456 22 46713 21 46969 21 47226 20 47482 20 47739 18 47996 17 48253 15 48512 11
7f4cbe0b36b5d09466476a7d4e01f4f976c67872d549f4ff47b3e1e3a2b403af, 55641 7 55895 12 56150 14 56405 16 56660 18 56915 19 57171 19 57427 19 57683 19 57938 20 58194 20 58451 19 58707 18 58963 18 59219 18 59476 16 59732 15 59988 15 60245 13 60501 12 60759 9
7f4cbe0b36b5d09466476a7d4e01f4f976c67872d549f4ff47b3e1e3a2b403af, 16115 10 16370 14 16625 15 16880 17 17136 17 17392 17 17648 17 17904 17 18160 17 18416 17 18672 17 18928 17 19185 16 19441 16 19698 15 19955 14 20211 14 20468 12 20727 6
7f4cbe0b36b5d09466476a7d4e01f4f976c67872d549f4ff47b3e1e3a2b403af, 2688 10 2943 13 3198 15 3454 16 3709 17 3965 17 4221 18 4477 18 4733 18 4989 17 5245 17 5502 16 5758 16 6015 15 6271 15 6528 14 6786 11 7045 7
7f4cbe0b36b5d09466476a7d4e01f4f976c67872d549f4ff47b3e1e3a2b403af, 31237 5 31491 9 31746 11 32002 11 32258 12 32514 12 32770 12 33026 13 33282 13 33538 13 33794 13 34050 13 34306 13 34562 13 34818 13 35074 13 35330 12 35586 12 35842 11 36098 10 36356 7
